# Transcript of Data 4 Good Training: INFORMS CAP
# Timestamp | transcribed text
0:02 | all right so welcome back to the uh data for good case
0:08 | competition so I'm sorry I missed everybody last week I was out uh with pneumonia so my great colleague will
0:15 | filled in for me um I just have a few announcements before we get started with this week's session um the first the
0:22 | first thing is just to make sure that you're checking out pitch so that's where we're going to have updates on the
0:27 | competition and that's also where we'd like you guys to post your questions so um in Pitch I took a screenshot here you
0:33 | can see under discussion boards that's where you guys if you have any um you know any questions you can post those
0:39 | there and we'll try to follow up as soon as possible um do not email us because
0:45 | you may not get a response okay so I sent an email to everybody in the competition yesterday just to make sure
0:51 | that um um you knew how to get to pitch and it looks like most people are being
0:57 | able to access um and log in today we have 928 student participants
1:05 | and 238 teams so uh it's going great so far um also our leaderboard has been
1:11 | updated so we're trying to update this as fast as we can um it's kind of real time when people take the quizzes um but
1:18 | here's the bitly link if you'd like to go and and you know i' bookmark that so you can kind of see where your team
1:24 | ranks within each of the four regions so here I just took a screenshot of the top four teams with within each region but
1:31 | again this is going to be changing you know probably every few days as people submit their quiz
1:39 | scores um just a couple reminders about um uh the deadlines for the quizzes so
1:47 | um our comp or our kickoff call with prediction guard training um that was the first event that we had here you can
1:53 | see the quiz link and um the deadline to actually submit that quiz if you haven't
1:59 | already is today okay so today by um uh 11:59 p.m.
2:05 | EST um same thing with the second training session we had with prediction guard arm llms and rag um you can see
2:13 | the quiz link there the deadline for that's also today so don't miss out because you know you don't want to miss out and maybe that was the quiz that um
2:21 | took you from first place to the third place uh Microsoft training uh from last
2:27 | week uh the quiz is do October 11th that's 1,800 points so there's more quiz
2:33 | questions um for that training session because it was a lot more content than the other training sessions today we're
2:40 | going to have informs cap JTA training with Dr Beverly Wright and here you can find um the quiz link to submit your
2:47 | quiz there um these slides are in Pitch also the links and the due dates are in
2:53 | Pitch so if you're like oh where did that go um just go back there and then also after this Call's over today um we
3:00 | be Post in the recording of the call in um in
3:05 | Pitch make sure you don't forget to schedule your AI 900 exam okay don't wait till the last minute you know
3:12 | schedule a day you know you can book it maybe you know a couple days before it's due but um make sure you get on the
3:18 | schedule because there's only certain time Windows um to schedule um and
3:23 | that's a key part of this competition that's one of the big value propositions of this competition is to get that $99 | 3:30 | voucher to sit for the Microsoft AI 900 certification so just you know go and
3:36 | get that scheduled um we had sent out an email yesterday so you guys know this is the steps to schedule your
3:45 | test also today we only have 28 teams on the kagle leaderboard so here's just a
3:50 | screenshot of the teams um get on there okay so that's another thing you know I've been doing these competitions for a
3:57 | while now and I can tell you that the teams that that tend to come out on top in the end they're the ones that started
4:03 | early they didn't wait till the last minute so um to get on the leaderboard I
4:08 | I sent some instructions on that the main thing is you create a kaggle account and then one person on your team
4:15 | maybe you guys could just get together as a group but uh one person on your team should add each person individually
4:22 | one by one so um you know pick a leader on your team and then that person can invite uh their first teammate on the
4:29 | team and then once they accept then they can do the next one so on and so forth once you're there as a team um you can
4:35 | go ahead and upload upload the um sample submissions file that will get you guys
4:41 | on the leaderboard you know in like the lowest rank um but it's nice to see that
4:46 | we already have a lot of teams uh already they're building models and they're getting some pretty darn good
4:51 | scores so that's that's really good to see so I hope you guys are booking some time to do that uh the kagle
4:57 | competition's about a third of the you know third of the competition
5:03 | points uh data Camp so data Camp's not part of the competition points this year
5:08 | um but it looks like two-thirds of the uh participants have already accepted
5:13 | their invitation to take advantage of those free courses so don't forget that you know in this competition you got six
5:19 | months of access to all their courses um and they also have uh 50% off vouchers
5:26 | for certain certifications like a900 and powerbi uh um data analyst so you know don't
5:33 | miss out on that if you don't you know if you haven't joined yet it looks like there's just over 300 people out of the
5:39 | group that haven't accepted their invite here from my experience uh the invitation almost always goes to the
5:45 | spam quarantine folder so if you're not seeing it in your inbox go there um it's there I've been sending updates almost
5:52 | every day so if you go to your spam you might see a lot of emails and that's me just making sure that you don't miss it
5:59 | okay uh marker your calendars for next week so next week uh the Train's only 3 to
6:05 | four o'clock and it's on AI ethics with Prime C CE Prime AI CEO Aaron Baga who's
6:12 | also a certified analytics professional so we're so thankful to have him that will actually be our last training event
6:18 | for points in our competition so don't miss out on that okay I'm going to go
6:24 | ahead and hand it over to Dr Beverly Wright and let her uh get going
6:34 | excellent thank you so much uh let's see let me share a screen hello everybody
6:41 | I'm glad you're a part of this competition and um I believe strongly and in getting experiential learning and
6:48 | um benefiting others so this is a perfect combination I'm going to uh share some things with you and um I have
6:55 | some exercises along the way um Matthew how do you want to handle those you want me to take breaks and let them do the
7:03 | work or how do you want to do that yeah you can it's however you want to run the session we're kind of scheduled maybe
7:09 | around five o'clock or before is when we can end but uh it's really up to you yeah okay okay I got it also um
7:16 | there's a question in the Q&A so you may want to answer that cool um okay so I'm gonna talk to you about the inform cap
7:24 | which stands for certified analytic professional which you've probably already been exposed to this point in
7:30 | the um in the program uh a little bit of background um I'm a vice president of
7:36 | data science and AI at a consulting company called wle Data Solutions we're headquartered in
7:42 | Chicago and we do everything like dated AI in the services side um I'm also the
7:48 | immediate past president for the informed analytics society and I'm the incoming chair for the informs Upstate
7:55 | chapter which is a new chapter that we started in South Carolina um I'm the chair for the
8:00 | technology Association of Georgia's data science and AI Society director of executive data science programs at
8:07 | University of Georgia I have a podcast called tag data talk and I'm a data
8:14 | science for good leader and Advocate that's is a little bit about myself I've um either overseen developed or
8:22 | participated in um probably about a dozen at least competitions at this
8:28 | point most of which have been um for good um so my goals are to U motivate
8:36 | you hopefully give you some information and provide some uh tactical steps um
8:41 | hopefully this will help you not only understand the certified analytics professional designation but help you
8:47 | understand how to develop a framework and um run these projects from start to finish so this is what I'm hoping to
8:54 | accomplish today um my expectation is uh that I'm trying
9:01 | to find ways to help you measure your own competency and the agenda that we have
9:09 | is um after the introduction I'm going to give you a little bit about what is the key what is the capap what are the
9:16 | requirements the importance of certification um and I'm going to talk a
9:21 | little bit about the study guide and some information I pulled from the study guide there are seven different domains
9:27 | and there are three that we're going to Deep dive into um there are a couple of
9:33 | common pitfalls that people run into so I'll talk about that a little bit in the suggestions and then provide some uh
9:39 | next steps for you so what is the cap uh certified
9:45 | analy professional um it differs from a certificate and it's a certification
9:51 | it's not quite a license and it's not the same as a degree but it is accredited by ancy which is the top
9:58 | accreditation board for certifications um it's a way of verifying from a trusted independent and
10:05 | Tool agnostic um kind of platform which is informs so the importance of cap is
10:11 | um largely highlighted by the importance of informs and the validity that that can
10:19 | bring um cap can prove your technical expertise uh it can also help um provide
10:28 | evidence that you have soft skills necessary for the analytics field um and
10:35 | it provides it's almost like a super analytics and data science
10:40 | competency it's usually possessed by people that are accomplished in this field there are some early stage
10:48 | individuals that have earned the cap um which really shows chops and as a way of standing out and it's valued by very
10:55 | analytics oriented organization if you want to um get an easy way of
11:02 | finding out more about the cap in general uh there was a podcast done several years ago with paully Mitchell
11:10 | Guri who um was at the time she was at SAS which is uh if you're not familiar
11:15 | with sth most of yall probably are but um phal analysis software in Carri North
11:21 | Carolina and she worked there and they had certifications but she was also a part of the informed analytics
11:27 | certification board and so she had a very interesting and deep perspective about um what is the cap what's the
11:35 | value why is it important so you can also listen to this 20 approximately 20 minute um video or audio with her and um
11:44 | that's on the analytics Buzz so there are essentially three
11:50 | kinds of certifications there's tool-based certifications which will uh if you if
11:57 | you take a certification from through Microsoft soft or Google or something like that um it's only that particular
12:04 | tool or or you know a python or something that's very tool specific you
12:09 | can also take technique based certification um exams and pass those
12:15 | and those are really good if you want to do one thing so to give you a simple
12:20 | example um you know Master forecaster you're a very good forecaster and that's
12:26 | all you're trying to do it focuses on a particular technique but the cap is really a knowledge-based
12:32 | certification type so it's not related to any specific tool or any individual
12:38 | technique or method of um running analytics it's more knowledge based and that's one of the things I like about it
12:44 | is that it stands independent and it's held by informs there are several requirements
12:51 | uh for the cap education and experience being on a sliding scale um one thing
12:56 | that makes it unique is that you have to have a certain level of EQ um emotional quotient and you have to
13:03 | pass the exam and you have to agree to a very rigorous um set of Ethics which I
13:08 | also find incredibly useful in my work because I can always fall back on that and say look I'm I'm a cap I can only do
13:16 | certain things like I've got to be ethical and so even though um even if you have your own standard which is
13:22 | super high it's always helpful to have an outsider you know an outside reason
13:28 | to say like I'm a part of this this Guild if you will and I have this certification and so I'm upheld to those
13:38 | standards okay so that's kind of just some very quick background on chaps and
13:44 | so let me cover the domains to see if I need to stop
13:52 | share and then I'll reshare that's this time
13:59 | I will share the link okay there we
14:13 | go oh okay here we go I'm just going to share my whole screen there we go okay
14:19 | so um there are several domains that are part of the job task analysis that are
14:27 | um um including in the capap the certified analytics professional designation or the cap and you can kind
14:35 | of see these in a couple of ways one being it follows the scientific method
14:40 | so if we have any you know um if we have anyone out there that's really studying more science related fields or you're
14:48 | familiar with science related fields like physics or chemistry they follow a scientific method it kind of copies that
14:55 | except in the analytic space um the other thing you might notice is it appears to be very temporal in nature so
15:03 | it's in a certain order for a certain reason um you can't really jump back and
15:09 | forth much even though it is an iterative process um but aside from the iterations that you have to take it kind
15:15 | of needs to go in a start to finish um steps one through seven manner so there's two things I
15:22 | wanted to make sure to tell you about that is that the framework is similar to it's kind of like an Adaptive um
15:29 | scientific method and secondly that it does tend to have a temporal nature to it so um we're going to talk through
15:37 | each of these seven and um I'm GNA have y'all do some exercises with um three of these and
15:44 | then I'm G tell you the common pitfalls so one of my
15:50 | favorites is business problem or question Framing and the reason that's um one of
15:57 | my favorites is because it's important to actually do that there there are
16:04 | plenty of scenarios where um an analytics team will start with a problem
16:11 | um by going straight to the data that's not what the cap suggest it's uh it's a
16:16 | common it's one of the common problems but um the place to actually start is
16:21 | with business problem or question framing so this includes um
16:29 | identifying the problem statement which you think is easy but it's actually
16:35 | really not um y'all have probably all heard the statistic which is a little
16:40 | frightening about the 85% of work that we do doesn't get doesn't get used it
16:45 | doesn't get applied or operationalized and oftentimes doesn't get Scaled and a big part of this is um you
16:53 | know the difficulty that we have with communicating the results but also that we answer the wrong question from the
16:58 | get-go so this includes um understanding this initial problem statement and the
17:04 | desired outcomes we also um have to really understand stakeholders and their
17:10 | perspective so let me give you an example um as part of my data science for good
17:17 | work I leverage volunteer data science and analytics and um project managers
17:23 | and all and leaders all kinds of people to work on nonprofit causes
17:29 | and one of the projects that we have was with an organization called Davis Direction
17:34 | foundation and what they do is um Davis Direction Foundation is all about fighting addiction and fueling
17:42 | recovery most of the participants with this nonprofit are addicted to opioids
17:49 | or sometimes heroin and they have um daily struggles with this some of them
17:55 | um that are part of the organization are even celebrities ities and they're very vocal about their addiction so my team
18:03 | and I were working on this project to help them understand how to um improve
18:09 | their programs that they offer to people that are going through recovery it's a really
18:14 | interesting um it's a really interesting thing because it's both uh physiological
18:20 | and emotional but there's also a behavioral component to it and so it's
18:26 | almost like you sort of have control but you don't have complete control it's a dance um between the environment and
18:33 | your DNA so um as part of working on this project we we were sort of I think the
18:40 | team was grasping for straws like trying to really understand the data and put some context behind it and some um
18:46 | texture and they were having such a struggle that I said let's just go see these people so we actually took a field
18:54 | trip to Davis jaction foundation and um they had monthly I
18:59 | think it's monthly could be weekly now but at the time I think it was monthly meetings where people would come
19:05 | together and talk about their struggles and the difficulties that they have every single day so my team went and we
19:13 | heard um we heard directly from these people and um it was very eye openening
19:20 | we got back and the data looked different everything seemed different so
19:27 | one of the ways that we can understand the stakeholders and their perspectives
